Yr,Mo,ProductName,TeamName,Revenue,Units,Product,RequestorTeams,PromoSpend,Requests
2025,1,DAPWIZ,LEGENDS,8604721.045,27649.0,DAPWIZ,LEGENDS,38675.0,1
2025,1,DIPOF,MAVERICKS,2330632.7806,10127.0,DIPOF,MAVERICKS,755173.46,10
2025,1,DUZALTA,MAVERICKS,17978705.3374,30832.0,DUZALTA,MAVERICKS,943768.56,13
2025,1,ERLI,BRAVO,18367019.5337,43354.0,ERLI,BRAVO,449349.8,11
2025,1,ESTAR,MAVERICKS,14246893.7467,48445.0,ESTAR,MAVERICKS,215186.0,3
2025,1,ESTAR,TITANS,35345950.3608,81521.0,ESTAR,TITANS,1417225.0,7
2025,1,EVOKALM,MAVERICKS,9540263.1694,35600.0,EVOKALM,MAVERICKS,206235.0,5
2025,1,EVOPRIDE,WINNERS,17255909.5639,29217.0,EVOPRIDE,WINNERS,190855.5,4
2025,1,EVOPRIDE PLUS,WINNERS,25537834.5777,61994.0,EVOPRIDE PLUS,WINNERS,1072916.2,3
2025,1,FEMOVA,GLADIATORS,13219745.0314,12317.0,FEMOVA,GLADIATORS,866361.7,18
